主题,来源,标题,原文链接,之前日期,核验后日期,状态,依据,未核实原因,核验时间
building,深圳市住房和建设局,深圳市住房和建设局关于2026年“质量月”观摩项目遴选情况的公示,https://zjj.sz.gov.cn/xxgk/tzgg/content/post_12971786.html,2026-09-08T00:00:00+08:00,2026-09-08T11:04:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:42.607000+08:00
building,宁夏回族自治区住房和城乡建设厅,自治区住房和城乡建设厅自然资源厅关于规范全区存量工业（仓储）用房改为商业服务业设施的通知,https://jst.nx.gov.cn/zwgk/zcwjk/gfxwj/202609/t20260904_5334129.html,2026-09-04T00:00:00+08:00,2026-09-04T17:06:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:42.610000+08:00
building,苏州市住房和城乡建设局,市住建局举办“读懂新清单 用好新消耗量”专题宣贯会,https://zfcjj.suzhou.gov.cn/szszjj/gzdt/202609/1040ea1476f245d987a9b9e6512562a3.shtml,2026-09-07T00:00:00+08:00,2026-09-07T09:27:33+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:42.608000+08:00
building,云南省住房和城乡建设厅,云南省住房和城乡建设厅关于征求《云南省山地光伏电站设计标准》意见的通知,https://zfcxjst.yn.gov.cn/ywdt/gsgg/202609/t20260904_4147301.html,2026-09-04T00:00:00+08:00,2026-09-04T16:09:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:42.610000+08:00
building,重庆市住房和城乡建设委员会,关于发布《建筑隔热涂料系统应用技术标准》的通知,https://zfcxjw.cq.gov.cn/zwxx_166/gsgg/202609/t20260903_16027754.html,2026-09-03T00:00:00+08:00,2026-09-03T15:25:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:42.705000+08:00
building,重庆市住房和城乡建设委员会,关于发布《自防水混凝土结构应用技术标准》的通知,https://zfcxjw.cq.gov.cn/zwxx_166/gsgg/202609/t20260903_16027747.html,2026-09-03T00:00:00+08:00,2026-09-03T15:24:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:42.715000+08:00
building,新疆维吾尔自治区住房和城乡建设厅,关于公开发布《新疆维吾尔自治区勘察设计监督管理办法》的公告,https://zjt.xinjiang.gov.cn/xjzjt/c113382/202609/8e46c49236c8413e8fe4cb39e1c0ec82.shtml,2026-09-03T00:00:00+08:00,2026-09-03T00:00:00+08:00,有来源依据,官方栏目日期,,2026-09-09T10:02:42.681000+08:00
building,重庆市住房和城乡建设委员会,关于发布《装配式外墙条板应用技术标准》的通知,https://zfcxjw.cq.gov.cn/zwxx_166/gsgg/202609/t20260903_16027737.html,2026-09-03T00:00:00+08:00,2026-09-03T15:23:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:42.822000+08:00
building,深圳市住房和建设局,深圳市住房和建设局关于发布2026年度智能建造试点项目的通知,https://zjj.sz.gov.cn/xxgk/tzgg/content/post_12965835.html,2026-09-03T00:00:00+08:00,2026-09-03T10:27:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.022000+08:00
building,广东省住房和城乡建设厅,广东省住房和城乡建设厅关于公开征求修改《广东省建筑垃圾管理条例》公平竞争审查意见的公告,http://zfcxjst.gd.gov.cn/xxgk/gsgg/content/post_4950847.html,2026-09-03T00:00:00+08:00,2026-09-03T15:11:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:42.978000+08:00
building,上海市住房和城乡建设管理委员会,上海市住房和城乡建设管理委员会关于印发《上海市住房和城乡建设管理“十五五”规划》的通知,https://zjw.sh.gov.cn/jsgl/20260902/652ccdc1039e4514a90e02c0e1e0bc98.html,2026-09-03T00:00:00+08:00,2026-09-03T00:00:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.004000+08:00
building,宁夏回族自治区住房和城乡建设厅,关于公开征求《房屋市政工程生产安全重大事故隐患判定标准实施指南（试行）（征求意见稿）》意见的公告,https://jst.nx.gov.cn/zwfw/gsgg/202609/t20260902_5329305.html,2026-09-02T00:00:00+08:00,2026-09-02T10:32:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.089000+08:00
building,重庆市住房和城乡建设委员会,关于公布重庆市第六批智能建造试点企业和第七批试点项目名单的通知,https://zfcxjw.cq.gov.cn/zwxx_166/gsgg/202609/t20260903_16027723.html,2026-09-03T00:00:00+08:00,2026-09-03T15:17:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:42.972000+08:00
building,沈阳市城乡建设局,关于进一步加强沈阳市绿色建筑标识管理工作的通知,https://jw.shenyang.gov.cn/tzgg/202609/t20260901_5082034.html,2026-09-01T00:00:00+08:00,2026-09-01T00:00:00+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.126000+08:00
building,黑龙江省住房和城乡建设厅,关于2025年度黑龙江省工程建设工法的公告,https://zfcxjst.hlj.gov.cn/zfcxjst/c114764/202609/c00_31971490.shtml,2026-09-01T00:00:00+08:00,2026-09-01T16:06:13+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.149000+08:00
building,吉林省住房和城乡建设厅,关于拟列入吉林省第三批传统村落名录村落名单的公示,https://jst.jl.gov.cn/zwgk/gsgg/202609/t20260907_3668521.html,2026-09-07T00:00:00+08:00,2026-09-07T10:16:45+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:42.609000+08:00
building,黑龙江省住房和城乡建设厅,关于2025年度黑龙江省建筑业新技术应用示范工程的公告,https://zfcxjst.hlj.gov.cn/zfcxjst/c114764/202609/c00_31971751.shtml,2026-09-02T00:00:00+08:00,2026-09-02T10:58:56+08:00,有来源依据,原文发布时间,,2026-09-09T10:02:43.112000+08:00
